Location (from NCBI, GRCh38 (hg38))	Cyto Location	Gene	Dosage Data	Gene Name	Gene MIM#	Phenotype	Inheritance	Phenotype MIM#	Chromosome	Start	End
chr1:6,785,454-7,769,706 (I)	1p36.31-p36.23	CAMTA1	Yes	calmodulin binding transcription activator 1	611501	Cerebellar dysfunction with variable cognitive and behavioral abnormalities	Autosomal dominant	614756	chr1	6785454	7769706 
chr1:7,784,291-7,845,177	1p36.23	PER3	Yes	period circadian regulator 3	603427	?Advanced sleep phase syndrome, familial, 3	Autosomal dominant	616882	chr1	7784291	7845177
chr1:8,352,404-8,817,640	1p36.23	RERE	Yes	arginine-glutamic acid dipeptide repeats	605226	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	Autosomal dominant	616975	chr1	8352404	8817640
chr1:9,627,258-9,729,114	1p36.22	PIK3CD	Yes	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	602839	?Roifman-Chitayat syndrome, digenic	Digenic recessive	613328	chr1	9627258	9729114
chr1:9,627,258-9,729,114	1p36.22	PIK3CD	Yes	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	602839	Immunodeficiency 14A, autosomal dominant	Autosomal dominant	615513	chr1	9627258	9729114
chr1:9,627,258-9,729,114	1p36.22	PIK3CD	Yes	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	602839	Immunodeficiency 14B, autosomal recessive	Autosomal recessive	619281	chr1	9627258	9729114
chr1:10,210,570-10,381,603	1p36.22	KIF1B	Yes	kinesin family member 1B	605995	{Neuroblastoma, susceptibility to, 1}	Autosomal dominant, Somatic mutation	256700	chr1	10210570	10381603
chr1:10,210,570-10,381,603	1p36.22	KIF1B	Yes	kinesin family member 1B	605995	Charcot-Marie-Tooth disease, type 2A1	Autosomal dominant	118210	chr1	10210570	10381603
chr1:11,012,654-11,030,528	1p36.22	TARDBP	Yes	TAR DNA binding protein	605078	Amyotrophic lateral sclerosis 10, with or without FTD	Autosomal dominant	612069	chr1	11012654	11030528
chr1:11,012,654-11,030,528	1p36.22	TARDBP	Yes	TAR DNA binding protein	605078	Frontotemporal lobar degeneration, TARDBP-related	Autosomal dominant	612069	chr1	11012654	11030528
chr1:11,106,535-11,262,551	1p36.22	MTOR	Yes	mechanistic target of rapamycin kinase	601231	Focal cortical dysplasia, type II, somatic	Autosomal dominant	607341	chr1	11106535	11262551
chr1:11,106,535-11,262,551	1p36.22	MTOR	Yes	mechanistic target of rapamycin kinase	601231	Smith-Kingsmore syndrome	Autosomal dominant	616638	chr1	11106535	11262551
chr1:11,273,198-11,299,574	1p36.22	UBIAD1	Yes	UbiA prenyltransferase domain containing 1	611632	Corneal dystrophy, Schnyder type	Autosomal dominant	121800	chr1	11273198	11299574
chr1:11,785,723-11,805,964	1p36.22	MTHFR	Yes	methylenetetrahydrofolate reductase	607093	{Neural tube defects, susceptibility to}	Autosomal recessive	601634	chr1	11785723	11805964
chr1:11,785,723-11,805,964	1p36.22	MTHFR	Yes	methylenetetrahydrofolate reductase	607093	{Schizophrenia, susceptibility to}	Autosomal dominant	181500	chr1	11785723	11805964
chr1:11,785,723-11,805,964	1p36.22	MTHFR	Yes	methylenetetrahydrofolate reductase	607093	{Thromboembolism, susceptibility to}	Autosomal dominant	188050	chr1	11785723	11805964
chr1:11,785,723-11,805,964	1p36.22	MTHFR	Yes	methylenetetrahydrofolate reductase	607093	{Vascular disease, susceptibility to}	Autosomal dominant	188050	chr1	11785723	11805964
chr1:11,785,723-11,805,964	1p36.22	MTHFR	Yes	methylenetetrahydrofolate reductase	607093	Homocystinuria due to MTHFR deficiency	Autosomal recessive	236250	chr1	11785723	11805964
chr1:11,806,191-11,843,130	1p36.22	CLCN6	Yes	chloride voltage-gated channel 6	602726	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities	Autosomal dominant	619173	chr1	11806191	11843130
chr1:11,845,709-11,847,783	1p36.22	NPPA	Yes	natriuretic peptide A	108780	Atrial fibrillation, familial, 6	Autosomal dominant	612201	chr1	11845709	11847783
chr1:11,845,709-11,847,783	1p36.22	NPPA	Yes	natriuretic peptide A	108780	Atrial standstill 2	Autosomal recessive	615745	chr1	11845709	11847783
chr1:11,980,444-12,013,508	1p36.22	MFN2	Yes	mitofusin 2	608507	Charcot-Marie-Tooth disease, axonal, type 2A2A	Autosomal dominant	609260	chr1	11980444	12013508
chr1:11,980,444-12,013,508	1p36.22	MFN2	Yes	mitofusin 2	608507	Charcot-Marie-Tooth disease, axonal, type 2A2B	Autosomal recessive	617087	chr1	11980444	12013508
chr1:11,980,444-12,013,508	1p36.22	MFN2	Yes	mitofusin 2	608507	Hereditary motor and sensory neuropathy VIA	Autosomal dominant	601152	chr1	11980444	12013508
chr1:11,980,444-12,013,508	1p36.22	MFN2	Yes	mitofusin 2	608507	Lipomatosis, multiple symmetric, with or without peripheral neuropathy	Autosomal recessive	151800	chr1	11980444	12013508
chr1:15,438,443-15,449,242	1p36.21	CTRC	Yes	chymotrypsin C	601405	{Pancreatitis, chronic, susceptibility to}	Autosomal dominant	167800	chr1	15438443	15449242
chr1:15,456,732-15,472,091	1p36.21	CELA2A	Yes	chymotrypsin like elastase 2A	609443	Abdominal obesity-metabolic syndrome 4	Autosomal dominant	618620	chr1	15456732	15472091
chr1:15,847,707-15,940,456	1p36.21-p36.13	SPEN	Yes	spen family transcriptional repressor	613484	Radio-Tartaglia syndrome	Autosomal dominant	619312	chr1	15847707	15940456
chr1:16,124,337-16,156,069	1p36.13	EPHA2	Yes	EPH receptor A2	176946	Cataract 6, multiple types	Autosomal dominant	116600	chr1	16124337	16156069
chr1:17,018,722-17,054,032	1p36.13	SDHB	Yes	succinate dehydrogenase complex iron sulfur subunit B	185470	Gastrointestinal stromal tumor	Autosomal dominant, Isolated cases	606764	chr1	17018722	17054032
chr1:17,018,722-17,054,032	1p36.13	SDHB	Yes	succinate dehydrogenase complex iron sulfur subunit B	185470	Mitochondrial complex II deficiency, nuclear type 4	Autosomal recessive	619224	chr1	17018722	17054032
chr1:17,018,722-17,054,032	1p36.13	SDHB	Yes	succinate dehydrogenase complex iron sulfur subunit B	185470	Paraganglioma and gastric stromal sarcoma	Autosomal recessive	606864	chr1	17018722	17054032
chr1:17,018,722-17,054,032	1p36.13	SDHB	Yes	succinate dehydrogenase complex iron sulfur subunit B	185470	Pheochromocytoma/paraganglioma syndrome 4	Autosomal dominant	115310	chr1	17018722	17054032
chr1:19,975,431-19,980,434	1p36.13	PLA2G2A	Yes	phospholipase A2 group IIA	172411	{?Colorectal cancer, susceptibility to}	Autosomal dominant, Somatic mutation	114500	chr1	19975431	19980434
chr1:21,217,250-21,345,504	1p36.12	ECE1	Yes	endothelin converting enzyme 1	600423	?Hirschsprung disease, cardiac defects, and autonomic dysfunction	Autosomal dominant	613870	chr1	21217250	21345504
chr1:21,217,250-21,345,504	1p36.12	ECE1	Yes	endothelin converting enzyme 1	600423	{Hypertension, essential, susceptibility to}	Multifactorial	145500	chr1	21217250	21345504
chr1:21,508,984-21,578,410	1p36.12	ALPL	Yes	alkaline phosphatase, biomineralization associated	171760	Hypophosphatasia, adult	Autosomal dominant, Autosomal recessive	146300	chr1	21508984	21578410
chr1:21,508,984-21,578,410	1p36.12	ALPL	Yes	alkaline phosphatase, biomineralization associated	171760	Hypophosphatasia, childhood	Autosomal recessive	241510	chr1	21508984	21578410
chr1:21,508,984-21,578,410	1p36.12	ALPL	Yes	alkaline phosphatase, biomineralization associated	171760	Hypophosphatasia, infantile	Autosomal recessive	241500	chr1	21508984	21578410
chr1:21,508,984-21,578,410	1p36.12	ALPL	Yes	alkaline phosphatase, biomineralization associated	171760	Odontohypophosphatasia	Autosomal dominant, Autosomal recessive	146300	chr1	21508984	21578410
chr1:21,678,298-21,783,149	1p36.12	USP48	Yes	ubiquitin specific peptidase 48	617445	Deafness, autosomal dominant 85	Autosomal dominant	620227	chr1	21678298	21783149
chr1:22,052,709-22,101,360	1p36.12	CDC42	Yes	cell division cycle 42	116952	Takenouchi-Kosaki syndrome	Autosomal dominant	616737	chr1	22052709	22101360
chr1:22,117,313-22,143,097	1p36.12	WNT4	Yes	Wnt family member 4	603490	?SERKAL syndrome	Autosomal recessive	611812	chr1	22117313	22143097
chr1:22,117,313-22,143,097	1p36.12	WNT4	Yes	Wnt family member 4	603490	Mullerian aplasia and hyperandrogenism	Autosomal dominant	158330	chr1	22117313	22143097
chr1:23,019,468-23,083,689	1p36.12	KDM1A	Yes	lysine demethylase 1A	609132	Cleft palate, psychomotor retardation, and distinctive facial features	Autosomal dominant	616728	chr1	23019468	23083689
chr1:23,304,688-23,344,284	1p36.12	HNRNPR	Yes	heterogeneous nuclear ribonucleoprotein R	607201	Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities	Autosomal dominant	620073	chr1	23304688	23344284
chr1:23,691,779-23,696,835	1p36.11	RPL11	Yes	ribosomal protein L11	604175	Diamond-Blackfan anemia 7	Autosomal dominant	612562	chr1	23691779	23696835
chr1:24,319,357-24,364,482	1p36.11	GRHL3	Yes	grainyhead like transcription factor 3	608317	van der Woude syndrome 2	Autosomal dominant	606713	chr1	24319357	24364482
chr1:26,037,252-26,046,118	1p36.11	SLC30A2	Yes	solute carrier family 30 member 2	609617	Zinc deficiency, transient neonatal	Autosomal dominant	608118	chr1	26037252	26046118
chr1:26,432,321-26,471,306	1p36.11	DHDDS	Yes	dehydrodolichyl diphosphate synthase subunit	608172	?Congenital disorder of glycosylation, type 1bb	Autosomal recessive	613861	chr1	26432321	26471306
chr1:26,432,321-26,471,306	1p36.11	DHDDS	Yes	dehydrodolichyl diphosphate synthase subunit	608172	Developmental delay and seizures with or without movement abnormalities	Autosomal dominant	617836	chr1	26432321	26471306
chr1:26,432,321-26,471,306	1p36.11	DHDDS	Yes	dehydrodolichyl diphosphate synthase subunit	608172	Retinitis pigmentosa 59	Autosomal recessive	613861	chr1	26432321	26471306
chr1:26,696,015-26,782,104	1p36.11	ARID1A	Yes	AT-rich interaction domain 1A	603024	Coffin-Siris syndrome 2	Autosomal dominant	614607	chr1	26696015	26782104
chr1:26,911,489-26,913,975	1p36.11	NR0B2	Yes	nuclear receptor subfamily 0 group B member 2	604630	Obesity, mild, early-onset	Autosomal dominant, Multifactorial, Autosomal recessive	601665	chr1	26911489	26913975
chr1:26,949,562-26,960,468	1p36.11	KDF1	Yes	keratinocyte differentiation factor 1	616758	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type	Autosomal dominant	617337	chr1	26949562	26960468
chr1:27,534,245-27,604,227	1p36.11-p35.3	AHDC1	Yes	AT-hook DNA binding motif containing 1	615790	Xia-Gibbs syndrome	Autosomal dominant	615829	chr1	27534245	27604227
chr1:27,600,001-34,300,000 (I)	1p35	C1DELp35	Yes	Chromosome 1p35 deletion syndrome	617930	Chromosome 1p35 deletion syndrome	Autosomal dominant	617930	chr1	27600001	34300000 
chr1:28,887,100-29,120,041	1p35.3	EPB41	Yes	erythrocyte membrane protein band 4.1	130500	Elliptocytosis-1	Autosomal dominant, Autosomal recessive	611804	chr1	28887100	29120041
chr1:30,869,466-30,909,735	1p35.2	SDC3	Yes	syndecan 3	186357	{Obesity, association with}	Autosomal dominant, Multifactorial, Autosomal recessive	601665	chr1	30869466	30909735
chr1:30,931,506-31,065,717	1p35.2	PUM1	Yes	pumilio RNA binding family member 1	607204	Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism	Autosomal dominant	620719	chr1	30931506	31065717
chr1:30,931,506-31,065,717	1p35.2	PUM1	Yes	pumilio RNA binding family member 1	607204	Spinocerebellar ataxia 47	Autosomal dominant	617931	chr1	30931506	31065717
chr1:32,775,239-32,817,358	1p35.1	YARS1	Yes	tyrosyl-tRNA synthetase 1	603623	Charcot-Marie-Tooth disease, dominant intermediate C	Autosomal dominant	608323	chr1	32775239	32817358
chr1:32,775,239-32,817,358	1p35.1	YARS1	Yes	tyrosyl-tRNA synthetase 1	603623	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2	Autosomal recessive	619418	chr1	32775239	32817358
chr1:34,759,740-34,762,327	1p34.3	GJB4	Yes	gap junction protein beta 4	605425	Erythrokeratodermia variabilis et progressiva 2	Autosomal dominant	617524	chr1	34759740	34762327
chr1:34,781,214-34,786,364	1p34.3	GJB3	Yes	gap junction protein beta 3	603324	Deafness, autosomal dominant 2B, with or without peripheral neuropathy	Autosomal dominant	612644	chr1	34781214	34786364
chr1:34,781,214-34,786,364	1p34.3	GJB3	Yes	gap junction protein beta 3	603324	Deafness, digenic, GJB2/GJB3	Autosomal recessive, Digenic dominant	220290	chr1	34781214	34786364
chr1:34,781,214-34,786,364	1p34.3	GJB3	Yes	gap junction protein beta 3	603324	Erythrokeratodermia variabilis et progressiva 1	Autosomal dominant, Autosomal recessive	133200	chr1	34781214	34786364
chr1:35,557,799-35,566,779	1p34.3	NCDN	Yes	neurochondrin	608458	Neurodevelopmental disorder with infantile epileptic spasms	Autosomal dominant	619373	chr1	35557799	35566779
chr1:35,869,761-35,930,532	1p34.3	AGO1	Yes	argonaute RISC component 1	606228	Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures	Autosomal dominant	620292	chr1	35869761	35930532
chr1:36,095,239-36,125,222	1p34.3	COL8A2	Yes	collagen type VIII alpha 2 chain	120252	Corneal dystrophy, Fuchs endothelial, 1	Autosomal dominant	136800	chr1	36095239	36125222
chr1:36,095,239-36,125,222	1p34.3	COL8A2	Yes	collagen type VIII alpha 2 chain	120252	Corneal dystrophy, posterior polymorphous 2	Autosomal dominant	609140	chr1	36095239	36125222
chr1:36,466,043-36,483,314	1p34.3	CSF3R	Yes	colony stimulating factor 3 receptor	138971	?Neutrophilia, hereditary	Autosomal dominant	162830	chr1	36466043	36483314
chr1:36,466,043-36,483,314	1p34.3	CSF3R	Yes	colony stimulating factor 3 receptor	138971	Neutropenia, severe congenital, 7, autosomal recessive	Autosomal recessive	617014	chr1	36466043	36483314
chr1:37,713,880-37,765,120	1p34.3	EPHA10	Yes	EPH receptor A10	611123	?Deafness, autosomal dominant 88	Autosomal dominant	620283	chr1	37713880	37765120
chr1:38,838,198-38,859,772	1p34.3	RRAGC	Yes	Ras related GTP binding C	608267	Long-Olsen-Distelmaier syndrome	Autosomal dominant	620609	chr1	38838198	38859772
chr1:39,084,167-39,487,138	1p34.3	MACF1	Yes	microtubule actin crosslinking factor 1	608271	Lissencephaly 9 with complex brainstem malformation	Autosomal dominant	618325	chr1	39084167	39487138
chr1:40,300,489-40,317,286	1p34.2	COL9A2	Yes	collagen type IX alpha 2 chain	120260	?Stickler syndrome, type V	Autosomal recessive	614284	chr1	40300489	40317286
chr1:40,300,489-40,317,286	1p34.2	COL9A2	Yes	collagen type IX alpha 2 chain	120260	Epiphyseal dysplasia, multiple, 2	Autosomal dominant	600204	chr1	40300489	40317286
chr1:40,783,787-40,840,452	1p34.2	KCNQ4	Yes	potassium voltage-gated channel subfamily Q member 4	603537	Deafness, autosomal dominant 2A	Autosomal dominant	600101	chr1	40783787	40840452
chr1:42,925,353-42,958,868	1p34.2	SLC2A1	Yes	solute carrier family 2 member 1	138140	{Epilepsy, idiopathic generalized, susceptibility to, 12}	Autosomal dominant	614847	chr1	42925353	42958868
chr1:42,925,353-42,958,868	1p34.2	SLC2A1	Yes	solute carrier family 2 member 1	138140	Dystonia 9	Autosomal dominant	601042	chr1	42925353	42958868
chr1:42,925,353-42,958,868	1p34.2	SLC2A1	Yes	solute carrier family 2 member 1	138140	GLUT1 deficiency syndrome 1, infantile onset, severe	Autosomal dominant, Autosomal recessive	606777	chr1	42925353	42958868
chr1:42,925,353-42,958,868	1p34.2	SLC2A1	Yes	solute carrier family 2 member 1	138140	GLUT1 deficiency syndrome 2, childhood onset	Autosomal dominant	612126	chr1	42925353	42958868
chr1:42,925,353-42,958,868	1p34.2	SLC2A1	Yes	solute carrier family 2 member 1	138140	Stomatin-deficient cryohydrocytosis with neurologic defects	Autosomal dominant	608885	chr1	42925353	42958868
chr1:43,300,982-43,323,108	1p34.2	TIE1	Yes	tyrosine kinase with immunoglobulin like and EGF like domains 1	600222	Lymphatic malformation 11	Autosomal dominant	619401	chr1	43300982	43323108
chr1:43,337,818-43,354,466	1p34.2	MPL	Yes	MPL proto-oncogene, thrombopoietin receptor	159530	Amegakaryocytic thrombocytopenia, congenital, 1	Autosomal recessive	604498	chr1	43337818	43354466
chr1:43,337,818-43,354,466	1p34.2	MPL	Yes	MPL proto-oncogene, thrombopoietin receptor	159530	Myelofibrosis with myeloid metaplasia, somatic	Autosomal recessive	254450	chr1	43337818	43354466
chr1:43,337,818-43,354,466	1p34.2	MPL	Yes	MPL proto-oncogene, thrombopoietin receptor	159530	Thrombocythemia 2	Autosomal dominant, Somatic mutation	601977	chr1	43337818	43354466
chr1:43,363,401-43,368,011	1p34.2	ELOVL1	Yes	ELOVL fatty acid elongase 1	611813	Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies	Autosomal dominant, Autosomal recessive	618527	chr1	43363401	43368011
chr1:45,012,254-45,015,575	1p34.1	UROD	Yes	uroporphyrinogen decarboxylase	613521	Porphyria cutanea tarda	Autosomal dominant, Autosomal recessive	176100	chr1	45012254	45015575
chr1:45,012,254-45,015,575	1p34.1	UROD	Yes	uroporphyrinogen decarboxylase	613521	Porphyria, hepatoerythropoietic	Autosomal dominant, Autosomal recessive	176100	chr1	45012254	45015575
chr1:46,247,688-46,278,473	1p34.1	RAD54L	Yes	RAD54 like	603615	{Breast cancer, invasive ductal}	Autosomal dominant, Somatic mutation	114480	chr1	46247688	46278473
chr1:46,247,688-46,278,473	1p34.1	RAD54L	Yes	RAD54 like	603615	Adenocarcinoma, colonic, somatic	Autosomal dominant, Somatic mutation	114480	chr1	46247688	46278473
chr1:46,247,688-46,278,473	1p34.1	RAD54L	Yes	RAD54 like	603615	Lymphoma, non-Hodgkin, somatic	Autosomal dominant, Somatic mutation	605027	chr1	46247688	46278473
chr1:46,300,001-50,200,000 (I)	1p33	PAINQTL1	Yes	Pain sensitivity quantitative trait locus 1	618377	?Pain sensitivity QTL1	Autosomal dominant	618377	chr1	46300001	50200000 
chr1:47,416,285-47,418,052	1p33	FOXE3	Yes	forkhead box E3	601094	{Aortic aneurysm, familial thoracic 11, susceptibility to}	Autosomal dominant	617349	chr1	47416285	47418052
chr1:47,416,285-47,418,052	1p33	FOXE3	Yes	forkhead box E3	601094	Anterior segment dysgenesis 2, multiple subtypes	Autosomal recessive	610256	chr1	47416285	47418052
chr1:47,416,285-47,418,052	1p33	FOXE3	Yes	forkhead box E3	601094	Cataract 34, multiple types	Autosomal recessive	612968	chr1	47416285	47418052
chr1:53,196,824-53,214,197	1p32.3	CPT2	Yes	carnitine palmitoyltransferase 2	600650	{Encephalopathy, acute, infection-induced, 4, susceptibility to}	Autosomal dominant, Autosomal recessive	614212	chr1	53196824	53214197
chr1:53,196,824-53,214,197	1p32.3	CPT2	Yes	carnitine palmitoyltransferase 2	600650	CPT II deficiency, infantile	Autosomal recessive	600649	chr1	53196824	53214197
chr1:53,196,824-53,214,197	1p32.3	CPT2	Yes	carnitine palmitoyltransferase 2	600650	CPT II deficiency, lethal neonatal	Autosomal recessive	608836	chr1	53196824	53214197
chr1:53,196,824-53,214,197	1p32.3	CPT2	Yes	carnitine palmitoyltransferase 2	600650	CPT II deficiency, myopathic, stress-induced	Autosomal dominant, Autosomal recessive	255110	chr1	53196824	53214197
chr1:53,894,187-53,911,086	1p32.3	DIO1	Yes	iodothyronine deiodinase 1	147892	Thyroid hormone metabolism, abnormal, 2	Autosomal dominant	619855	chr1	53894187	53911086
chr1:55,039,548-55,064,852	1p32.3	PCSK9	Yes	proprotein convertase subtilisin/kexin type 9	607786	{Low density lipoprotein cholesterol level QTL 1}	Autosomal dominant	603776	chr1	55039548	55064852
chr1:55,039,548-55,064,852	1p32.3	PCSK9	Yes	proprotein convertase subtilisin/kexin type 9	607786	Hypercholesterolemia, familial, 3	Autosomal dominant	603776	chr1	55039548	55064852
chr1:56,994,778-58,546,726	1p32.2-p32.1	DAB1	Yes	DAB adaptor protein 1	603448	Spinocerebellar ataxia 37	Autosomal dominant	615945	chr1	56994778	58546726
chr1:61,077,227-61,462,788	1p31.3	NFIA	Yes	nuclear factor I A	600727	Brain malformations with or without urinary tract defects	Autosomal dominant	613735	chr1	61077227	61462788
chr1:63,322,567-63,325,128	1p31.3	FOXD3	Yes	forkhead box D3	611539	{Autoimmune disease, susceptibility to, 1}	Autosomal dominant	607836	chr1	63322567	63325128
chr1:64,833,229-65,067,746	1p31.3	JAK1	Yes	Janus kinase 1	147795	Autoinflammation, immune dysregulation, and eosinophilia	Autosomal dominant	618999	chr1	64833229	65067746
chr1:68,428,822-68,449,954	1p31.3	RPE65	Yes	retinoid isomerohydrolase RPE65	180069	Leber congenital amaurosis 2	Autosomal recessive	204100	chr1	68428822	68449954
chr1:68,428,822-68,449,954	1p31.3	RPE65	Yes	retinoid isomerohydrolase RPE65	180069	Retinitis pigmentosa 20	Autosomal recessive	613794	chr1	68428822	68449954
chr1:68,428,822-68,449,954	1p31.3	RPE65	Yes	retinoid isomerohydrolase RPE65	180069	Retinitis pigmentosa 87 with choroidal involvement	Autosomal dominant	618697	chr1	68428822	68449954
chr1:74,235,387-74,544,428	1p31.1	TNNI3K	Yes	TNNI3 interacting kinase	613932	Cardiac conduction disease with or without dilated cardiomyopathy	Autosomal dominant	616117	chr1	74235387	74544428
chr1:77,888,624-77,943,895	1p31.1	NEXN	Yes	nexilin F-actin binding protein	613121	Cardiomyopathy, dilated, 1CC	Autosomal dominant	613122	chr1	77888624	77943895
chr1:77,888,624-77,943,895	1p31.1	NEXN	Yes	nexilin F-actin binding protein	613121	Cardiomyopathy, hypertrophic, 20	Autosomal dominant	613876	chr1	77888624	77943895
chr1:84,078,079-84,238,498	1p31.1	PRKACB	Yes	protein kinase cAMP-activated catalytic subunit beta	176892	Cardioacrofacial dysplasia 2	Somatic mosaicism, Autosomal dominant	619143	chr1	84078079	84238498
chr1:90,915,304-91,022,035	1p22.2	ZNF644	Yes	zinc finger protein 644	614159	Myopia 21, autosomal dominant	Autosomal dominant	614167	chr1	90915304	91022035
chr1:92,246,402-92,370,844	1p22.1	GLMN	Yes	glomulin, FKBP associated protein	601749	Glomuvenous malformations	Autosomal dominant	138000	chr1	92246402	92370844
chr1:92,473,043-92,486,925	1p22.1	GFI1	Yes	growth factor independent 1 transcriptional repressor	600871	?Neutropenia, nonimmune chronic idiopathic, of adults	Autosomal dominant	607847	chr1	92473043	92486925
chr1:92,473,043-92,486,925	1p22.1	GFI1	Yes	growth factor independent 1 transcriptional repressor	600871	Neutropenia, severe congenital 2, autosomal dominant	Autosomal dominant	613107	chr1	92473043	92486925
chr1:92,831,986-92,841,924	1p22.1	RPL5	Yes	ribosomal protein L5	603634	Diamond-Blackfan anemia 6	Autosomal dominant	612561	chr1	92831986	92841924
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	{Macular degeneration, age-related, 2}	Autosomal dominant	153800	chr1	93992834	94121148
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	Cone-rod dystrophy 3	Autosomal recessive	604116	chr1	93992834	94121148
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	Fundus flavimaculatus	Autosomal recessive	248200	chr1	93992834	94121148
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	Retinal dystrophy, early-onset severe	Autosomal recessive	248200	chr1	93992834	94121148
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	Retinitis pigmentosa 19	Autosomal recessive	601718	chr1	93992834	94121148
chr1:93,992,834-94,121,148	1p22.1	ABCA4	Yes	ATP binding cassette subfamily A member 4	601691	Stargardt disease 1	Autosomal recessive	248200	chr1	93992834	94121148
chr1:102,876,473-103,108,522	1p21.1	COL11A1	Yes	collagen type XI alpha 1 chain	120280	{Lumbar disc herniation, susceptibility to}	Autosomal recessive	603932	chr1	102876473	103108522
